order_id;product_id;add_to_cart_order;reordered
2141543;11440;17.0;0
567889;1560;1.0;1
2261212;26683;1.0;1
491251;8670;35.0;1
2571142;1940;5.0;1
2456893;21616;4.0;1
644579;12341;5.0;1
2231852;44925;10.0;1
3185766;36259;14.0;1
420019;23315;4.0;1
925051;9421;2.0;1
44064;22963;28.0;0
522547;40571;10.0;1
2475670;48520;3.0;0
1961225;37553;1.0;1
2397389;4321;16.0;1
639939;10017;1.0;1
1721072;24561;8.0;1
89640;46692;7.0;0
2500729;21616;5.0;1
1687771;22963;5.0;1
2905625;26209;2.0;0
1482958;45603;6.0;1
750040;8518;1.0;0
2022887;28169;4.0;0
1046178;26620;2.0;0
623027;13176;3.0;1
2907647;21903;9.0;1
2492383;11005;16.0;0
773308;37029;15.0;0
2070264;21872;9.0;0
60394;25659;4.0;1
1597793;5460;7.0;1
2291457;27104;1.0;1
2966829;31005;22.0;0
1118439;27307;7.0;0
2183879;12576;3.0;1
941691;30391;3.0;0
2343489;19820;17.0;0
217120;28985;4.0;0
631150;23139;9.0;0
2669937;42562;2.0;1
1805081;8590;4.0;0
3075384;28799;1.0;1
1446879;41682;9.0;1
1787676;47672;1.0;1
3283409;920;9.0;1
1270550;40199;5.0;1
1943147;47626;22.0;1
1898003;47766;7.0;1
1165819;26790;15.0;1
1833543;25466;49.0;1
186618;13629;19.0;1
1253049;35395;6.0;0
3266094;12763;1.0;1
2123288;18926;3.0;1
1594605;34217;1.0;1
424235;38739;15.0;1
1762301;44632;3.0;1
2975934;45633;10.0;1
1869361;8277;4.0;1
543103;44268;13.0;1
2802310;29941;11.0;1
2469650;39618;5.0;1
2489062;15902;2.0;1
3180232;45788;10.0;1
2193900;43772;7.0;0
2134683;35595;2.0;1
1717025;39475;3.0;1
2777189;49158;12.0;0
450917;21436;1.0;1
594138;18150;16.0;1
1886834;17948;18.0;0
1487940;25457;7.0;0
380897;37400;17.0;0
2186234;13176;2.0;1
1555293;47209;11.0;1
2140940;21645;14.0;1
145751;47626;8.0;1
688832;38777;9.0;1
497429;26209;9.0;1
1719929;13629;2.0;1
2554863;39445;28.0;0
3295056;31869;3.0;1
661606;31378;2.0;0
2476176;29689;14.0;0
2394827;20063;9.0;1
2608397;32211;10.0;0
1190675;32762;10.0;0
2293571;20178;12.0;1
505943;13176;1.0;1
989215;13176;18.0;1
1422242;19678;5.0;1
286653;23115;1.0;0
1027738;40233;3.0;1
998132;24810;4.0;1
2468213;36322;6.0;1
3012270;24273;10.0;1
3324964;16759;7.0;0
2667061;7131;14.0;0
194806;24852;3.0;1
567234;39275;2.0;1
2268923;26914;24.0;1
70124;18242;9.0;0
3313221;38383;7.0;1
634797;28204;2.0;0
3137728;5212;6.0;0
3027785;28204;12.0;0
2699857;45007;1.0;1
3176371;24852;1.0;1
1458029;1695;5.0;0
136791;17795;15.0;1
2684926;35004;5.0;1
449132;1158;3.0;1
355254;16350;23.0;0
1930431;38827;8.0;0
2981444;5876;11.0;1
140440;37119;2.0;1
3198699;38777;8.0;0
448902;35004;13.0;0
2514745;890;15.0;1
1861131;47766;1.0;1
180380;45113;10.0;0
51609;35939;9.0;1
1753268;17794;3.0;1
2389363;4605;13.0;1
1978149;27521;8.0;1
3156919;22247;45.0;0
2222368;8518;11.0;0
2085339;17835;30.0;1
2181721;12456;11.0;1
261093;47626;14.0;0
558229;8061;1.0;1
1628241;44325;7.0;1
1979710;33438;7.0;1
2952692;49247;1.0;1
739673;26620;4.0;1
2834075;47877;1.0;1
2645555;389;1.0;0
517867;41787;6.0;0
3000171;23165;31.0;0
2756563;31338;12.0;0
2146236;33352;15.0;0
1058517;21903;4.0;1
194819;30237;6.0;0
1499738;43693;2.0;1
2279454;22935;2.0;0
1406012;16293;19.0;0
12543;23165;8.0;0
284023;41006;5.0;0
2924421;7252;1.0;1
1442232;24852;3.0;1
596994;27086;13.0;0
2377034;3880;6.0;0
1039674;43654;10.0;1
716043;21293;3.0;1
508976;9597;7.0;1
591907;7243;9.0;1
2182385;12738;2.0;1
2167422;31869;7.0;1
3325573;30391;8.0;0
639309;14553;7.0;0
972259;31015;8.0;0
315078;21533;17.0;1
3186919;14858;1.0;1
2768648;5240;4.0;0
1044361;2962;10.0;1
329283;21616;9.0;1
1868250;45948;4.0;1
362394;4920;3.0;0
2842364;43633;5.0;1
2113624;38456;1.0;1
127701;2014;8.0;1
2945469;32734;9.0;1
405886;42736;5.0;0
1881061;19734;2.0;0
782743;24491;1.0;1
2583519;38453;12.0;0
465579;43772;12.0;0
3115321;38400;8.0;0
3059649;6846;4.0;1
2509656;7898;1.0;0
660349;13113;29.0;0
1109551;48118;11.0;0
893498;4210;8.0;1
2289358;30776;2.0;1
2010350;31562;2.0;1
1477458;13176;2.0;1
2183114;13629;3.0;1
1475401;9124;15.0;0
2098482;12232;15.0;0
347603;13870;10.0;0
749677;46979;5.0;0
1038788;30305;18.0;0
3418988;47144;2.0;1
2292790;18200;18.0;1
3058474;34126;19.0;1
2312054;41570;1.0;1
3239005;10753;2.0;0
1234096;37401;2.0;1
2907111;4920;8.0;1
2384694;21019;8.0;1
